FID IID phenotype
0 0_0 -2.05230852453876
0 0_1 -0.6496386085812
1 1_0 -1.65972355716298
1 1_1 -0.234408336301432
10 10_0 -2.12740636385267
10 10_1 -1.34391951712173
100 100_0 -1.99461929892444
100 100_1 0.355103548662223
1000 1000_0 -0.135388570076673
1000 1000_1 -1.52628581722873
1001 1001_0 -0.712247197984611
1001 1001_1 -0.489420403582555
1002 1002_0 0.370023452111251
1002 1002_1 -0.0168466143144103
1003 1003_0 -0.923042253656801
1003 1003_1 0.521593205116581
1004 1004_0 -1.20937955111905
1004 1004_1 -0.267071724034259
1005 1005_0 0.00263598110815756
1005 1005_1 0.576561192794975
1006 1006_0 -1.95443759906376
1006 1006_1 -3.43136643001433
1007 1007_0 -0.666544220592261
1007 1007_1 -1.22088043143696
1008 1008_0 -1.69832943286457
1008 1008_1 -1.88412317624515
1009 1009_0 -0.343574839378685
1009 1009_1 -1.30404483650386
101 101_0 -0.623655438478428
101 101_1 0.137107005122451
1010 1010_0 0.919275115282291
1010 1010_1 0.952871861051564
1011 1011_0 -3.19409326521067
1011 1011_1 -2.52070706249047
1012 1012_0 -2.63210614731313
1012 1012_1 -3.89905297045843
1013 1013_0 0.227936764233483
1013 1013_1 0.0198136979083157
1014 1014_0 -1.08760381743277
1014 1014_1 -0.434113449553256
1015 1015_0 -1.82325595240075
1015 1015_1 -1.29257172983899
1016 1016_0 -1.6518526455314
1016 1016_1 -1.54961211392343
1017 1017_0 -0.169467936345318
1017 1017_1 -0.636506838712157
1018 1018_0 -1.05618703579012
1018 1018_1 -1.83482469441293
1019 1019_0 -0.159970816532954
1019 1019_1 -0.472443366464734
102 102_0 -1.92013125896667
102 102_1 -1.61862564631733
1020 1020_0 -1.41243993083002
1020 1020_1 -1.04353570533254
1021 1021_0 -2.35477145760986
1021 1021_1 -2.22023471733344
1022 1022_0 -1.61947581820796
1022 1022_1 -2.92776894482986
1023 1023_0 -0.218977892703827
1023 1023_1 -0.423949800248509
1024 1024_0 -1.63359764550172
1024 1024_1 -1.49819356934549
1025 1025_0 0.614504028320063
1025 1025_1 -0.159726961571489
1026 1026_0 -3.04927068796992
1026 1026_1 -2.0081241941527
1027 1027_0 -0.370060376699963
1027 1027_1 -1.13675036783608
1028 1028_0 0.261432375250559
1028 1028_1 0.314646322532788
1029 1029_0 0.236494029031518
1029 1029_1 -0.516196152812607
103 103_0 -1.03237301825703
103 103_1 -1.15742512543915
1030 1030_0 -2.69470957043399
1030 1030_1 -2.10487573959138
1031 1031_0 -0.54740936125782
1031 1031_1 -0.487545216007554
1032 1032_0 0.234600174586849
1032 1032_1 1.10804160294007
1033 1033_0 -2.44219096414422
1033 1033_1 -2.52690830144861
1034 1034_0 0.956300764603862
1034 1034_1 1.21247999672968
1035 1035_0 -1.6092682137061
1035 1035_1 -0.122219949223313
1036 1036_0 -1.84442604360633
1036 1036_1 -1.47546093683068
1037 1037_0 0.617225084728266
1037 1037_1 -0.240112167247025
1038 1038_0 -2.34242294031089
1038 1038_1 -1.57987679368137
1039 1039_0 -1.87114877804492
1039 1039_1 -1.04745110282448
104 104_0 -1.5110365047043
104 104_1 0.357517926418626
1040 1040_0 -1.56432558999247
1040 1040_1 0.615492285426689
1041 1041_0 -2.52858124807953
1041 1041_1 -2.74609929320144
1042 1042_0 -2.76573919567199
1042 1042_1 -1.25937608710191
1043 1043_0 -0.363979677379679
1043 1043_1 -0.261916748395072
1044 1044_0 0.1487388087163
1044 1044_1 0.788648212769269
1045 1045_0 0.441501153689806
1045 1045_1 0.756011945474626
1046 1046_0 -0.448446442095918
1046 1046_1 -1.03777762676914
1047 1047_0 0.699386419569354
1047 1047_1 -0.815352497434187
1048 1048_0 -0.228144841017091
1048 1048_1 0.389260216769437
1049 1049_0 -1.17702304546358
1049 1049_1 -1.92902319212355
105 105_0 -2.87664783580062
105 105_1 -3.25246407010497
1050 1050_0 -0.982706808240627
1050 1050_1 0.0765083586419688
1051 1051_0 -2.20846081894819
1051 1051_1 -2.72230338006244
1052 1052_0 -0.942204617087091
1052 1052_1 -1.63812020368895
1053 1053_0 -1.09123176601667
1053 1053_1 -0.820421002285503
1054 1054_0 -0.44828714132659
1054 1054_1 0.0717111373815129
1055 1055_0 -1.96768259480347
1055 1055_1 -2.19047414115107
1056 1056_0 -1.34646441976149
1056 1056_1 -0.45073769974189
1057 1057_0 -0.558949640980208
1057 1057_1 0.0777591529319887
1058 1058_0 -1.76583950573767
1058 1058_1 -0.525046528870108
1059 1059_0 -1.52331930720101
1059 1059_1 -1.2130671565144
106 106_0 -1.76894820822561
106 106_1 -1.37641308614306
1060 1060_0 -2.09804884982614
1060 1060_1 -1.60969278610745
1061 1061_0 0.507424404593624
1061 1061_1 -0.311269494085812
1062 1062_0 -0.772961398955693
1062 1062_1 -0.840084233796055
1063 1063_0 -1.04511166732018
1063 1063_1 -1.27004655653271
1064 1064_0 -1.34094963392458
1064 1064_1 -0.883339253969061
1065 1065_0 -2.5848457103453
1065 1065_1 -3.0321822501053
1066 1066_0 -1.12295497989027
1066 1066_1 -0.216305818331395
1067 1067_0 -1.64915459916515
1067 1067_1 -1.661249625796
1068 1068_0 -0.694376968255238
1068 1068_1 -1.17431194252352
1069 1069_0 -2.80291027643118
1069 1069_1 -3.00683897081596
107 107_0 -2.58362954483925
107 107_1 -2.75348608492747
1070 1070_0 -2.20384798653519
1070 1070_1 -2.47725654637255
1071 1071_0 0.0193480903480906
1071 1071_1 0.642422091093206
1072 1072_0 -0.159756510154136
1072 1072_1 0.638529282260133
1073 1073_0 -0.704438983827012
1073 1073_1 -2.05997555092762
1074 1074_0 -0.283367790762924
1074 1074_1 -0.0449880340781921
1075 1075_0 -1.20719339050447
1075 1075_1 -1.35456519941695
1076 1076_0 -1.99256807109728
1076 1076_1 -1.246934325028
1077 1077_0 0.587122027801498
1077 1077_1 -0.831160784193682
1078 1078_0 -2.32372366456406
1078 1078_1 -1.84012852022626
1079 1079_0 -2.56893989183224
1079 1079_1 -1.78965346016735
108 108_0 -0.317877175520935
108 108_1 -1.02666509264123
1080 1080_0 -1.81898401137306
1080 1080_1 -2.23193512959988
1081 1081_0 -2.22026874223612
1081 1081_1 -1.10497815097931
1082 1082_0 -0.683169814107613
1082 1082_1 0.0630632246415384
1083 1083_0 -2.2177878378722
1083 1083_1 -1.40775653712802
1084 1084_0 0.594450230438161
1084 1084_1 -0.0071240448714224
1085 1085_0 -2.00436077113319
1085 1085_1 -2.16340465357528
1086 1086_0 -2.04343418264319
1086 1086_1 -0.279131556430715
1087 1087_0 -1.09137500267812
1087 1087_1 -1.10015380036587
1088 1088_0 -3.35226558039895
1088 1088_1 -2.38156610934263
1089 1089_0 -1.4233261765855
1089 1089_1 -1.46740172397157
109 109_0 0.153821513897887
109 109_1 -0.711041249550853
1090 1090_0 -0.0593235262362634
1090 1090_1 -0.516058554377237
1091 1091_0 0.424016691667209
1091 1091_1 -1.47883614053764
1092 1092_0 -0.750567019424388
1092 1092_1 -0.0606937650966917
1093 1093_0 -2.32405352659685
1093 1093_1 -1.87321525563024
