(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband paternal maternal gpp gmp gpm gmm
(Intercept) 0.0119046880394458 0.00858187083735018 1.68341619332545e-05 -0.000209873055975787 0.000543557083760113 8.10662715369201e-06 0.00031694864057867 0.000107412847632962 -0.00045209559999772 -0.00045111799993764 0.000110396376720238 0.000219526394577588
covarage 0.00858187083735018 0.00855510836071614 0.000240509123023212 -0.000101726754125041 0.000445866022087705 0.000115606587754038 5.1993776032589e-05 -9.74880594648222e-05 0.000264459569808551 -0.000374093948738372 0.00051673080038607 2.27506004717277e-05
covarsex 1.68341619332545e-05 0.000240509123023212 0.0024032148667184 -3.38457033509505e-05 1.0995849459262e-05 0.000113654896746489 -8.25358246899352e-05 -0.000160474318724318 0.00024382565177308 -0.00018382191425958 0.000201482795708424 -6.57515766879421e-05
covarpcs.V3 -0.000209873055975787 -0.000101726754125041 -3.38457033509505e-05 0.00231746713959425 0.00023605085644582 -5.18833369994106e-05 8.76592033910077e-05 5.38149245367671e-05 -0.000231834977526997 0.000134464720268966 -0.00026553546748711 -2.36514249219075e-07
covarpcs.V4 0.000543557083760113 0.000445866022087705 1.0995849459262e-05 0.00023605085644582 0.00202998379803847 1.5394715889072e-05 4.43324354711736e-05 3.20151962724671e-05 0.000405960604464295 -0.000241636914316672 -0.000220326336451409 0.00033216790814443
proband 8.10662715369201e-06 0.000115606587754038 0.000113654896746489 -5.18833369994106e-05 1.5394715889072e-05 0.00491945519126613 -0.00230850891986061 -0.00232859855642017 -0.00023150234494955 9.95049113015605e-05 3.62677221881097e-05 -0.000261443676150911
paternal 0.00031694864057867 5.1993776032589e-05 -8.25358246899352e-05 8.76592033910077e-05 4.43324354711736e-05 -0.00230850891986061 0.0196411187046231 0.000651468019792645 -0.016905439962572 -0.0119330094478797 -0.000411081532585513 0.000915732988156787
maternal 0.000107412847632962 -9.74880594648222e-05 -0.000160474318724318 5.38149245367671e-05 3.20151962724671e-05 -0.00232859855642017 0.000651468019792645 0.0157151049849637 9.07423698475658e-05 0.000260246236599935 -0.0124795738778213 -0.00946807373333516
gpp -0.00045209559999772 0.000264459569808551 0.00024382565177308 -0.000231834977526997 0.000405960604464295 -0.00023150234494955 -0.016905439962572 9.07423698475658e-05 0.0506903204935596 -0.0179740314178674 -0.000127033782025561 0.000392279470089954
gmp -0.00045111799993764 -0.000374093948738372 -0.00018382191425958 0.000134464720268966 -0.000241636914316672 9.95049113015605e-05 -0.0119330094478797 0.000260246236599935 -0.0179740314178674 0.0388585388525351 0.000712364573635314 -0.00184816123490786
gpm 0.000110396376720238 0.00051673080038607 0.000201482795708424 -0.00026553546748711 -0.000220326336451409 3.62677221881097e-05 -0.000411081532585513 -0.0124795738778213 -0.000127033782025561 0.000712364573635314 0.0363023605893525 -0.013646954011543
gmm 0.000219526394577588 2.27506004717277e-05 -6.57515766879421e-05 -2.36514249219075e-07 0.00033216790814443 -0.000261443676150911 0.000915732988156787 -0.00946807373333516 0.000392279470089954 -0.00184816123490786 -0.013646954011543 0.0324661250142076
