(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband paternal maternal gpp gmp gpm gmm
(Intercept) 0.0121018717247191 0.00872408517925252 2.75118910590438e-05 -0.000196871385408322 0.000533300074896227 -4.44491872953675e-05 -0.000201486119264802 0.000449656889396455 0.000671821259575078 0.000449121103135426 -0.000597528266479639 6.63008281184825e-06
covarage 0.00872408517925252 0.00867137795098758 0.000240742313433117 -8.68273483728114e-05 0.000422755691119715 0.000238600844314548 -0.000213037163825944 0.000359449821686934 0.00035855929306853 0.00028160239862516 -0.000364709533030736 -0.000422885506864199
covarsex 2.75118910590438e-05 0.000240742313433117 0.00243914281683705 -2.07086694685568e-05 -4.86224609209123e-06 1.09323344882573e-05 3.99610785769715e-05 -6.79126110926534e-05 3.08464817077642e-05 4.230520808471e-05 0.00041347695799553 -3.0535906532776e-05
covarpcs.V3 -0.000196871385408322 -8.68273483728114e-05 -2.07086694685568e-05 0.00235709187465803 0.000236232001157405 3.99857483267673e-05 -0.000174702909879246 -0.000264268212651154 -5.56417646115562e-05 0.000430012047987838 5.79797184998549e-05 0.000517184656835409
covarpcs.V4 0.000533300074896227 0.000422755691119715 -4.86224609209123e-06 0.000236232001157405 0.00206291868049091 -5.89143913819382e-05 -0.000331825053106166 -2.71539929749144e-05 0.000175320992217232 0.000211681296378258 -0.000397634768564399 0.000137219421952443
proband -4.44491872953675e-05 0.000238600844314548 1.09323344882573e-05 3.99857483267673e-05 -5.89143913819382e-05 0.00495538390823125 -0.00249479182677216 -0.00223887904661545 -4.90893065924562e-05 0.00026620342974225 0.000309903410748157 -0.000634381946437434
paternal -0.000201486119264802 -0.000213037163825944 3.99610785769715e-05 -0.000174702909879246 -0.000331825053106166 -0.00249479182677216 0.0197066967169985 0.00136256238099427 -0.0161484078952706 -0.0142265433205173 -0.000590256990590964 -8.45884926477602e-05
maternal 0.000449656889396455 0.000359449821686934 -6.79126110926534e-05 -0.000264268212651154 -2.71539929749144e-05 -0.00223887904661545 0.00136256238099427 0.0158013604623729 -0.000792992756396397 0.000526281384332098 -0.0121213450467757 -0.0103097160635909
gpp 0.000671821259575078 0.00035855929306853 3.08464817077642e-05 -5.56417646115562e-05 0.000175320992217232 -4.90893065924562e-05 -0.0161484078952706 -0.000792992756396397 0.068070815474104 -0.0365170233347055 9.34356093255612e-05 0.00179939829687314
gmp 0.000449121103135426 0.00028160239862516 4.230520808471e-05 0.000430012047987838 0.000211681296378258 0.00026620342974225 -0.0142265433205173 0.000526281384332098 -0.0365170233347055 0.0638061390344682 0.000570205298479991 -0.00132207423011202
gpm -0.000597528266479639 -0.000364709533030736 0.00041347695799553 5.79797184998549e-05 -0.000397634768564399 0.000309903410748157 -0.000590256990590964 -0.0121213450467757 9.34356093255612e-05 0.000570205298479991 0.038442808267484 -0.015129162907034
gmm 6.63008281184825e-06 -0.000422885506864199 -3.0535906532776e-05 0.000517184656835409 0.000137219421952443 -0.000634381946437434 -8.45884926477602e-05 -0.0103097160635909 0.00179939829687314 -0.00132207423011202 -0.015129162907034 0.035722510231684
