(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband paternal maternal gpp gmp gpm gmm
(Intercept) 0.0119560349745633 0.00864660949830394 1.03843691270327e-05 -0.000209744780834086 0.000541414045881358 0.000182594099154772 4.808158121065e-05 -0.000244223525468123 0.000190268000496961 -0.000459625428327561 2.96770106822396e-05 -4.22571997855165e-05
covarage 0.00864660949830394 0.00861735557464045 0.000221082552514211 -0.000103815698944641 0.000429287785974286 0.000282756893378282 6.24429836957021e-05 -0.000317855427504109 0.000252758620970863 -0.000664511068349746 -0.000359289260439869 0.000261970438289717
covarsex 1.03843691270327e-05 0.000221082552514211 0.00242148363010781 -2.41076337877302e-05 2.94848911887219e-06 3.64906604813834e-05 6.98859840224102e-05 0.000185358687724277 -0.000261390389577013 0.000277171314071153 -0.000189749945058807 2.24893747933603e-05
covarpcs.V3 -0.000209744780834086 -0.000103815698944641 -2.41076337877302e-05 0.0023437762976658 0.000241578422278374 -2.24304950895465e-05 -0.000338944937206553 -0.000224134060291245 0.000174544525776848 0.000607199223432164 0.000402271401238768 0.000160820810348827
covarpcs.V4 0.000541414045881358 0.000429287785974286 2.94848911887219e-06 0.000241578422278374 0.00202866559920176 -8.80704730018726e-05 -0.000154723648301579 -6.09686512915764e-05 0.000174898023842283 8.34011378350966e-05 0.000141266626003461 -0.000131615056603564
proband 0.000182594099154772 0.000282756893378282 3.64906604813834e-05 -2.24304950895465e-05 -8.80704730018726e-05 0.00520072088090171 -0.0025739499804403 -0.00316788877495966 -0.000141877899433035 -0.00021030960444631 0.000458100537494888 0.000525611622395537
paternal 4.808158121065e-05 6.24429836957021e-05 6.98859840224102e-05 -0.000338944937206553 -0.000154723648301579 -0.0025739499804403 0.0192563163035991 0.00255143288311119 -0.0163756404375049 -0.0125425778733004 -0.000933382231228621 -0.00129251923896461
maternal -0.000244223525468123 -0.000317855427504109 0.000185358687724277 -0.000224134060291245 -6.09686512915764e-05 -0.00316788877495966 0.00255143288311119 0.0186533671397452 -0.000901130201957653 -0.00061054962995246 -0.0134090305362313 -0.0133180500610806
gpp 0.000190268000496961 0.000252758620970863 -0.000261390389577013 0.000174544525776848 0.000174898023842283 -0.000141877899433035 -0.0163756404375049 -0.000901130201957653 0.049836259672262 -0.0182375368055166 0.00225031640796212 -0.000714737580947464
gmp -0.000459625428327561 -0.000664511068349746 0.000277171314071153 0.000607199223432164 8.34011378350966e-05 -0.00021030960444631 -0.0125425778733004 -0.00061054962995246 -0.0182375368055166 0.0424912005940949 -0.00113188907483039 0.00204518073338405
gpm 2.96770106822396e-05 -0.000359289260439869 -0.000189749945058807 0.000402271401238768 0.000141266626003461 0.000458100537494888 -0.000933382231228621 -0.0134090305362313 0.00225031640796212 -0.00113188907483039 0.0374946501589756 -0.0127162527873087
gmm -4.22571997855165e-05 0.000261970438289717 2.24893747933603e-05 0.000160820810348827 -0.000131615056603564 0.000525611622395537 -0.00129251923896461 -0.0133180500610806 -0.000714737580947464 0.00204518073338405 -0.0127162527873087 0.037820867482495
